fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Trimester 3 2009*2009-07-01*2009-09-30*1221*gesmadrid@cajamadrid.es*A1*Alto*0.0*0.25**244447.94*378*0.0*14891720*false*60.9198***0.15*0.02*14.41*42.69*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Semester 1 2009*2009-01-01*2009-06-30*1221*gesmadrid@cajamadrid.es*A1*Alto*0.0*0.77**155611.02*309*0.0*8285758*false*53.2466***0.3*0.05*14.41*0.45*0.26
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Semester 2 2010*2010-07-01*2010-12-31*1221*gesmadrid@cajamadrid.es*A*ALTO*0.0*0.46**389670.81*490*0.0*28361878*false*72.7842***0.3*0.05*10.2*12.08*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Trimester 3 2010*2010-07-01*2010-09-30*1221*gesmadrid@cajamadrid.es*A*ALTO*0.0*0.38**352868.09*428*0.0*23305314*false*66.0454***0.15*0.02*11.28*18.93*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Semester 1 2010*2010-01-01*2010-06-30*1221*gesmadrid@cajamadrid.es*A*ALTO*0.0*0.31**391965.08*484*0.0*23262696*false*59.3489***0.3*0.05*-12.37*18.65*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Trimester 1 2010*2010-01-01*2010-03-31*1221*gesmadrid@cajamadrid.es*A1*ALTO*0.0*0.32**365499.72*479*0.0*24754784*false*67.7286***0.15*0.02*5.24*18.12*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Trimester 3 2011*2011-07-01*2011-09-30*1221*fondos@bankia.com*A-*ALTO*0.0*0.98**401858.02*574*0.0*26344566*false*65.5569***0.15*0.02*-14.47*33.3*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Semester 1 2011*2011-01-01*2011-06-30*1221*fondos@bankia.com*A-*ALTO*0.0*0.77**449406.14*609*0.0*34446441*false*76.6488***0.3*0.05*-0.25*12.84*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Trimester 1 2011*2011-01-01*2011-03-31*1221*gesmadrid@cajamadrid.es*A-*ALTO*0.0*0.55**458204.09*589*0.0*35207944*false*76.839***0.15*0.02*5.57*13.4*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Semester 2 2010*2010-07-01*2010-12-31*1221*gesmadrid@cajamadrid.es*A*ALTO*0.0*0.46**389670.81*490*0.0*28361878*false*72.7842***0.3*0.05*10.2*12.08*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Trimester 3 2012*2012-07-01*2012-09-30*1221*fondos@bankia.com*BB+*ALTO*0.0*0.09**237430.04*425*0.0*19845661*false*83.5853*0.15*0.0*0.15*0.02*5.72*17.24*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Semester 1 2012*2012-01-01*2012-06-30*1221*fondos@bankia.com*BB+*ALTO*0.0*0.28**256479.05*452*0.0*20277362*false*79.0605*0.3*0.0*0.3*0.05***0.18
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Trimester 1 2012*2012-01-01*2012-03-31*1221*fondos@bankia.com*BBB-*ALTO*0.0*0.32**293818.39*503*0.0*23955102*false*81.5303*0.15*0.0*0.15*0.02*12.05*22.79*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Semester 2 2011*2011-07-01*2011-12-31*1221*fondos@bankia.com*BBB+*ALTO*0.0*0.8**323982.96*534*0.0*23573422*false*72.7613*0.3*0.0*0.3*0.05*10.99*23.27*0.19
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Trimester 3 2013*2013-07-01*2013-09-30*1221*fondos@bankia.com*BB-*ALTO*0.0*0.01**154359.03*303*0.0*15119328*false*97.9491*0.15*0.0*0.15*0.02*4.9*11.45*0.2
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Semester 1 2013*2013-01-01*2013-06-30*1221*fondos@bankia.com*BB-*ALTO*0.0*0.01**160185.35*315*0.0*14957211*false*93.3744*0.3*0.0*0.3*0.05*2.42*12.01*0.19
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Trimester 1 2013*2013-01-01*2013-03-31*1221*fondos@bankia.com*BB-*ALTO*0.0*0.01**172213.11*341*0.0*15700428*false*91.1686*0.15*0.0*0.15*0.02*9.87*12.81*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Semester 2 2012*2012-07-01*2012-12-31*1221*fondos@bankia.com*B*6*0.0*0.06**182298.85*352*0.0*15126557*false*82.9767*0.3*0.0*0.3*0.05*-0.73*12.78*0.18
BANKIA INDEX USA CUBIERTO, FI*PT.BANKIA INDEX USA CUBIERTO CARTERA, FI*81851867*Semester 2 2020*2020-07-01*2020-12-31*1221*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.0*-0.33**57810.07*113*0.0*7286017*false*126.0337*0.12*0.0*0.12*0.05*[]*[]*[]
BANKIA INDEX USA CUBIERTO, FI*PT.BANKIA INDEX USA CUBIERTO UNIVERSAL, FI*81851867*Semester 2 2020*2020-07-01*2020-12-31*1221*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.0*-0.33**94326.85*891*0.0*12256915*false*129.9409*0.45*0.0*0.45*0.05*[]*[]*[]
BANKIA INDEX USA CUBIERTO, FI*PT.BANKIA INDEX USA CUBIERTO INTERNA FI*81851867*Trimester 3 2020*2020-07-01*2020-09-30*1221*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.0*-0.26**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*8.89*16.43*0.18
BANKIA INDEX USA CUBIERTO, FI*PT.BANKIA INDEX USA CUBIERTO PLUS FI*81851867*Trimester 3 2020*2020-07-01*2020-09-30*1221*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.0*-0.26**59375.23*161*0.0*11143014*false*187.6711*0.15*0.0*0.15*0.02*8.99*16.43*0.09
BANKIA INDEX USA CUBIERTO, FI*PT.BANKIA INDEX USA CUBIERTO CARTERA, FI*81851867*Trimester 3 2020*2020-07-01*2020-09-30*1221*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.0*-0.26**57481.61*116*0.0*6474711*false*112.6397*0.06*0.0*0.06*0.02*8.81*16.43*0.26
BANKIA INDEX USA CUBIERTO, FI*PT.BANKIA INDEX USA CUBIERTO UNIVERSAL, FI*81851867*Trimester 3 2020*2020-07-01*2020-09-30*1221*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.0*-0.26**93890.5*869*0.0*10921906*false*116.326*0.23*0.0*0.23*0.02*"[<iic-com:rentabilidadiic contextref=""FIM_T32020_V-81851867_da"" decimals=""2"" unitref=""pure"">8.89</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_T32020_V-81851867_da"" decimals=""2"" unitref=""pure"">8.99</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_T32020_V-81851867_da"" decimals=""2"" unitref=""pure"">8.81</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32020_V-81851867_da"" decimals=""2"" unitref=""pure"">16.43</iic-com-fon:volatilidadvalorliquidativo>, <iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32020_V-81851867_da"" decimals=""2"" unitref=""pure"">16.43</iic-com-fon:volatilidadvalorliquidativo>, <iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32020_V-81851867_da"" decimals=""2"" unitref=""pure"">16.43</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_T32020_V-81851867_da"" decimals=""2"" unitref=""pure"">0.18</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_T32020_V-81851867_da"" decimals=""2"" unitref=""pure"">0.09</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_T32020_V-81851867_da"" decimals=""2"" unitref=""pure"">0.26</iic-com:ratiototalgastos>]"
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA INDICE SyP 500 UNIVERSAL, FI*81851867*Semester 1 2020*2020-01-01*2020-06-30*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.0*-0.03**103047.59*927*0.0*11016818*false*106.91*0.45*0.0*0.45*0.05*[]*[]*[]
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA INDICE SyP 500 PLUS, FI*81851867*Semester 1 2020*2020-01-01*2020-06-30*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.0*-0.03**59894.28*161*0.0*10322642*false*172.3477*0.3*0.0*0.3*0.05*[]*[]*[]
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA INDICE SyP 500 CARTERA, FI*81851867*Semester 1 2020*2020-01-01*2020-06-30*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.0*-0.03**72974.03*138*0.0*7541800*false*103.3491*0.12*0.0*0.12*0.05*[]*[]*[]
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA INDICE SyP 500 INTERNA, FI*81851867*Semester 1 2020*2020-01-01*2020-06-30*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.0*-0.03**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA INDICE SyP 500 UNIVERSAL, FI*81851867*Trimester 1 2020*2020-01-01*2020-03-31*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.0*-0.06**85303.85*778*0.0*7499582*false*87.9161*0.22*0.0*0.22*0.02*-23.04*54.94*0.25
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA INDICE SyP 500 PLUS, FI*81851867*Trimester 1 2020*2020-01-01*2020-03-31*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.0*-0.06**62572.84*169*0.0*8862636*false*141.6371*0.15*0.0*0.15*0.02*-22.98*54.94*0.18
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA INDICE SyP 500 CARTERA, FI*81851867*Trimester 1 2020*2020-01-01*2020-03-31*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.0*-0.06**60153.95*128*0.0*5103966*false*84.8484*0.06*0.0*0.06*0.02*-22.91*54.94*0.09
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA INDICE SyP 500 INTERNA, FI*81851867*Trimester 1 2020*2020-01-01*2020-03-31*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.0*-0.06**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T12020_V-81851867_da"" decimals=""2"" unitref=""pure"">-23.04</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_T12020_V-81851867_da"" decimals=""2"" unitref=""pure"">-22.98</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_T12020_V-81851867_da"" decimals=""2"" unitref=""pure"">-22.91</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12020_V-81851867_da"" decimals=""2"" unitref=""pure"">54.94</iic-com-fon:volatilidadvalorliquidativo>, <iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12020_V-81851867_da"" decimals=""2"" unitref=""pure"">54.94</iic-com-fon:volatilidadvalorliquidativo>, <iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12020_V-81851867_da"" decimals=""2"" unitref=""pure"">54.94</iic-com-fon:volatilidadvalorliquidativo>]"*0.0
