fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Semester 2 2010*2010-07-01*2010-12-31*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*1.09*0.5**131973.39*197*0.0*13360289*false*101.2347***0.59*0.04****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER PATRIMONIO DECIDIDO, F.I.*85932945*Trimester 3 2010*2010-07-01*2010-09-30*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*1.13*0.44**32994.54*2*0.0*3292503*false*99.7893***0.13*0.02****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Trimester 3 2011*2011-07-01*2011-09-30*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.09*0.87**682179.32*1036*0.0*61067258*false*89.5179***0.43*0.02*-12.92*16.13*0.47*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Semester 1 2011*2011-01-01*2011-06-30*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.24*0.69**759916.66*1163*0.0*78116881*false*102.7966***0.84*0.05*0.7*6.62*0.47*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Trimester 1 2011*2011-01-01*2011-03-31*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.07*0.58**678525.71*1042*0.0*69266667*false*102.0841***0.41*0.02*0.84*6.5*0.48*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Semester 2 2010*2010-07-01*2010-12-31*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*1.09*0.5**131973.39*197*0.0*13360289*false*101.2347***0.59*0.04****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 3 2012*2012-07-01*2012-09-30*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.08*0.13**527722.92*862*0.0*52748424*false*99.9548*0.43*[]*0.43*0.02*1.43*8.71*0.66*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Semester 2 2017*2017-07-01*2017-12-31*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.42*-0.27**282194.95*3253*0.0*36630681*false*129.8063*0.96*[]*0.96*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase S*85932945*Trimester 3 2019*2019-07-01*2019-09-30*4253*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.16*-0.3**4566788.7*8986*0.0*624452281*false*136.7377*0.43*[]*0.43*0.03*1.54*5.95*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase A*85932945*Trimester 3 2019*2019-07-01*2019-09-30*4253*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.16*-0.3**377153.02*4627*0.0*50847583*false*134.8195*0.48*[]*0.48*0.03*1.49*5.95*0.59*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase S*85932945*Semester 1 2019*2019-01-01*2019-06-30*4253*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.45*-0.3**4431187.55*8649*0.0*596696162*false*134.6583*0.84*[]*0.84*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase A*85932945*Semester 1 2019*2019-01-01*2019-06-30*4253*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.45*-0.3**378019.68*4453*0.0*50213948*false*132.8342*0.94*[]*0.94*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase S*85932945*Trimester 1 2019*2019-01-01*2019-03-31*4253*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.32*-0.3**4451907.71*8590*0.0*589759643*false*132.4735*0.42*[]*0.42*0.02*8.13*5.96*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase A*85932945*Trimester 1 2019*2019-01-01*2019-03-31*4253*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.32*-0.3**375566.19*4325*0.0*49102481*false*130.7425*0.47*[]*0.47*0.02*8.08*5.97*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase S*85932945*Semester 2 2018*2018-07-01*2018-12-31*4253*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.67*-0.3**4465745.98*8539*0.0*547090197*false*122.5081*0.86*[]*0.86*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase A*85932945*Semester 2 2018*2018-07-01*2018-12-31*4253*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.67*-0.3**374821.62*4296*0.0*45340292*false*120.965*0.96*[]*0.96*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase S*85932945*Semester 2 2020*2020-07-01*2020-12-31*4253*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*1.05*-0.5**7160467.48*21529*0.0*1021252747*false*142.6238*0.88*[]*0.88*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase AJ*85932945*Semester 2 2020*2020-07-01*2020-12-31*4253*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*1.05*-0.5**342910.92*5227*0.0*48145152*false*140.4013*0.89*[]*0.89*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase S*85932945*Trimester 3 2020*2020-07-01*2020-09-30*4253*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.66*-0.5**7220937.53*21317*0.0*973787793*false*134.8561*0.44*[]*0.44*0.03*2.73*7.59*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase AJ*85932945*Trimester 3 2020*2020-07-01*2020-09-30*4253*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.66*-0.5**335073.5*5266*0.0*44482628*false*132.7548*0.45*[]*0.45*0.03*2.72*7.59*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase S*85932945*Semester 1 2020*2020-01-01*2020-06-30*4253*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*1.06*-0.47**5156319.85*10424*0.0*676890253*false*131.2739*0.84*[]*0.84*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase A*85932945*Semester 1 2020*2020-01-01*2020-06-30*4253*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*1.06*-0.47**331298.22*5295*0.0*42817572*false*129.2418*0.94*[]*0.94*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase S*85932945*Trimester 1 2020*2020-01-01*2020-03-31*4253*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.34*-0.45**5128512.62*10170*0.0*627232382*false*122.303*0.42*[]*0.42*0.02*-12.58*19.72*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase A*85932945*Trimester 1 2020*2020-01-01*2020-03-31*4253*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.34*-0.45**359679.35*5236*0.0*43330376*false*120.4695*0.47*[]*0.47*0.02*-12.63*19.72*0.57*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
