fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Semester 2 2009*2009-07-01*2009-12-31*2164*informesfondos@gruposantander.com*Aa2*Alto*0.16*0.24**43933935.28*9990*0.0*270429398*false*6.1554***0.96*0.05*4.55*15.52*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 1 2018*2018-01-01*2018-06-30*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.4*-0.29**47983034.55*7280*0.0*427770596*false*8.915*0.69*[]*0.69*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase D*82068164*Semester 1 2018*2018-01-01*2018-06-30*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.4*-0.29**2118912.28*138*0.0*18979264*true*8.9571*0.69*[]*0.69*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase Cartera*82068164*Semester 1 2018*2018-01-01*2018-06-30*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.4*-0.29**1571714.92*26*0.0*15150451*false*9.6394*0.22*[]*0.22*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 1 2018*2018-01-01*2018-03-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.16*-0.28**24808966.17*11144*0.0*212106531*false*8.5496*0.47*[]*0.47*0.04*-4.48*12.32*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 1 2018*2018-01-01*2018-03-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.16*-0.28**53043974.92*7744*0.0*464705942*false*8.7608*0.35*[]*0.35*0.04*-4.36*12.32*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase D*82068164*Trimester 1 2018*2018-01-01*2018-03-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.16*-0.28**2060051.58*142*0.0*18616380*true*9.0369*0.34*[]*0.34*0.04*-4.36*12.32*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa - Clase Cartera*82068164*Trimester 1 2018*2018-01-01*2018-03-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.16*-0.28**426035.37*22*0.0*4025625*false*9.449*0.11*[]*0.11*0.02*-4.13*12.32*0.14*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 2 2017*2017-07-01*2017-12-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.44*-0.27**25799993.03*11398*0.0*230926492*false*8.9506*0.96*[]*0.96*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 2 2017*2017-07-01*2017-12-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.44*-0.27**55649278.28*8061*0.0*509770927*false*9.1604*0.71*[]*0.71*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*S. Dividendo Europa - Clase D*82068164*Semester 2 2017*2017-07-01*2017-12-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.44*-0.27**790354.73*127*0.1*7468140*true*9.4491*0.71*[]*0.71*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa - Clase Cartera*82068164*Semester 2 2017*2017-07-01*2017-12-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.44*-0.27**399664.87*20*0.0*3939001*false*9.8558*0.03*[]*0.03*0.01*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 2 2019*2019-07-01*2019-12-31*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.26*-0.34**14301292.32*8484*0.0*136651944*false*9.5552*0.96*[]*0.96*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 2 2019*2019-07-01*2019-12-31*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.26*-0.34**42270775.98*6529*0.0*417523725*false*9.8774*0.71*[]*0.71*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase D*82068164*Semester 2 2019*2019-07-01*2019-12-31*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.26*-0.34**3124020.72*298*0.09*29410783*true*9.4144*0.7*[]*0.7*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase Cartera*82068164*Semester 2 2019*2019-07-01*2019-12-31*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.26*-0.34**7441021.16*29282*0.0*80673975*false*10.8418*0.22*[]*0.22*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 3 2019*2019-07-01*2019-09-30*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.12*-0.3**16643757.85*9114*0.0*151487455*false*9.1018*0.48*[]*0.48*0.04*1.93*11.3*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 3 2019*2019-07-01*2019-09-30*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.12*-0.3**42387958.52*6415*0.0*398310141*false*9.3968*0.35*[]*0.35*0.04*2.06*11.3*0.4*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase D*82068164*Trimester 3 2019*2019-07-01*2019-09-30*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.12*-0.3**2432079.26*186*0.0*21983181*true*9.0388*0.35*[]*0.35*0.04*2.06*11.3*0.4*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase Cartera*82068164*Trimester 3 2019*2019-07-01*2019-09-30*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.12*-0.3**976069.33*17*0.0*10042119*false*10.2883*0.11*[]*0.11*0.03*2.32*11.3*0.14*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 1 2019*2019-01-01*2019-06-30*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.02*-0.3**17979778.15*9481*0.0*160545239*false*8.9292*0.94*[]*0.94*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 1 2019*2019-01-01*2019-06-30*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.02*-0.3**43045620.42*6446*0.0*396323062*false*9.207*0.69*[]*0.69*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase D*82068164*Semester 1 2019*2019-01-01*2019-06-30*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.02*-0.3**2278207.82*164*0.27*20176600*true*8.8563*0.69*[]*0.69*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase Cartera*82068164*Semester 1 2019*2019-01-01*2019-06-30*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.02*-0.3**1023332.16*15*0.0*10289837*false*10.0552*0.22*[]*0.22*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 1 2019*2019-01-01*2019-03-31*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.0*-0.3**19683621.65*9809*0.0*174723668*false*8.8766*0.47*[]*0.47*0.04*10.53*9.83*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 1 2019*2019-01-01*2019-03-31*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.0*-0.3**43673328.93*6559*0.0*399235023*false*9.1414*0.35*[]*0.35*0.04*10.66*9.83*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase D*82068164*Trimester 1 2019*2019-01-01*2019-03-31*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.0*-0.3**2199308.65*150*0.0*19933588*true*9.0636*0.35*[]*0.35*0.04*10.66*9.83*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase Cartera*82068164*Trimester 1 2019*2019-01-01*2019-03-31*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.0*-0.3**999498.06*16*0.0*9953668*false*9.9587*0.11*[]*0.11*0.02*10.94*9.83*0.14*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 2 2020*2020-07-01*2020-12-31*2164*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.58*-0.5**8055505.24*6953*0.0*67578525*false*8.3891*0.96*[]*0.96*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 2 2020*2020-07-01*2020-12-31*2164*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.58*-0.5**35337067.54*6204*0.0*307975359*false*8.7154*0.7*[]*0.7*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase D*82068164*Semester 2 2020*2020-07-01*2020-12-31*2164*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.58*-0.5**2791800.85*302*0.12*22301512*true*7.9882*0.7*[]*0.7*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase Cartera*82068164*Semester 2 2020*2020-07-01*2020-12-31*2164*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.58*-0.5**9126610.52*45966*0.0*88198049*false*9.6638*0.23*[]*0.23*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 3 2020*2020-07-01*2020-09-30*2164*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.28*-0.5**8549823.35*7137*0.0*65313577*false*7.6392*0.48*[]*0.48*0.04*-4.74*15.94*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 3 2020*2020-07-01*2020-09-30*2164*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.28*-0.5**39556099.74*6711*0.0*313537090*false*7.9264*0.35*[]*0.35*0.04*-4.62*15.94*0.4*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase D*82068164*Trimester 3 2020*2020-07-01*2020-09-30*2164*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.28*-0.5**3029311.45*325*0.0*22332187*true*7.372*0.35*[]*0.35*0.04*-4.62*15.94*0.4*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase Cartera*82068164*Trimester 3 2020*2020-07-01*2020-09-30*2164*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.28*-0.5**6927608.56*36376*0.0*60734034*false*8.767*0.11*[]*0.11*0.03*-4.38*15.94*0.15*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 1 2020*2020-01-01*2020-06-30*2164*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.01*-0.47**8790016.06*7253*0.0*70486452*false*8.0189*0.95*[]*0.95*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 1 2020*2020-01-01*2020-06-30*2164*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.01*-0.47**43089355.46*7049*0.0*358071078*false*8.31*0.7*[]*0.7*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase D*82068164*Semester 1 2020*2020-01-01*2020-06-30*2164*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.01*-0.47**3226889.74*336*0.19*24939931*true*7.7288*0.7*[]*0.7*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase Cartera*82068164*Semester 1 2020*2020-01-01*2020-06-30*2164*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.01*-0.47**7162891.91*34672*0.0*65670340*false*9.1681*0.22*[]*0.22*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 1 2020*2020-01-01*2020-03-31*2164*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.0*-0.45**12280166.43*7924*0.0*90078021*false*7.3352*0.47*[]*0.47*0.04*-23.23*39.83*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 1 2020*2020-01-01*2020-03-31*2164*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.0*-0.45**41672175.03*6596*0.0*316376455*false*7.592*0.35*[]*0.35*0.04*-23.14*39.83*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase D*82068164*Trimester 1 2020*2020-01-01*2020-03-31*2164*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.0*-0.45**3225104.54*341*0.0*23337004*true*7.236*0.35*[]*0.35*0.04*-23.14*39.83*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase Cartera*82068164*Trimester 1 2020*2020-01-01*2020-03-31*2164*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.0*-0.45**6941537.75*34073*0.0*57998324*false*8.3553*0.11*[]*0.11*0.02*-22.93*39.83*0.14*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
