fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 2 2016*2016-07-01*2016-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.04**342627.75*246*[]*3321000*false*9.6919*0.5*0.0*0.5*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Semester 1 2013*2013-01-01*2013-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Semester 1 2013*2013-01-01*2013-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Semester 1 2013*2013-01-01*2013-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Semester 1 2013*2013-01-01*2013-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Semester 1 2013*2013-01-01*2013-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Trimester 1 2018*2018-01-01*2018-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.*0.04*-0.22**552831.17*356*[]*5390000*false*9.7502*0.25*0.0*0.25*0.01*-0.42*1.48*0.48*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Trimester 1 2018*2018-01-01*2018-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.*0.04*-0.22**1925713.14*111*[]*18852000*false*9.7897*0.2*0.0*0.2*0.01*-0.37*1.48*0.43*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Trimester 1 2018*2018-01-01*2018-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.*0.04*-0.22**294337.3*2*[]*2894000*false*9.8313*0.15*0.0*0.15*0.01*-0.32*1.48*0.38*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Trimester 1 2018*2018-01-01*2018-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.*0.04*-0.22**14416121.08*19227*[]*140993000*false*9.7802*0.12*0.0*0.12*0.01*-0.3*1.48*0.36*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Trimester 1 2018*2018-01-01*2018-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.*0.04*-0.22**52077.87*13*[]*509000*false*9.7691*0.22*0.0*0.22*0.01*-0.39*1.48*0.46*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Trimester 1 2018*2018-01-01*2018-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.*0.04*-0.22**208237.45*4*[]*2039000*false*9.7894*0.2*0.0*0.2*0.01*-0.37*1.48*0.43*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Trimester 3 2019*2019-07-01*2019-09-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.18*-0.13**349860.64*258*[]*3305000*false*9.4464*0.25*0.0*0.25*0.01*-0.26*1.32*0.51*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Trimester 3 2019*2019-07-01*2019-09-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.18*-0.13**1128095.97*64*[]*10732000*false*9.5132*0.2*0.0*0.2*0.01*-0.21*1.32*0.46*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Trimester 3 2019*2019-07-01*2019-09-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.18*-0.13**262855.3*2*[]*2519000*false*9.5826*0.15*0.0*0.15*0.01*-0.16*1.32*0.41*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Trimester 3 2019*2019-07-01*2019-09-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.18*-0.13**9376464.35*14233*[]*89517000*false*9.547*0.13*0.0*0.13*0.01*-0.13*1.32*0.38*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Trimester 3 2019*2019-07-01*2019-09-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.18*-0.13**38172.52*8*[]*362000*false*9.479*0.23*0.0*0.23*0.01*-0.23*1.32*0.48*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Trimester 3 2019*2019-07-01*2019-09-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.18*-0.13**0.0*0*[]*0*false*9.513*0.08*0.0*0.08*0.01*-0.21*1.32*0.33*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 1 2019*2019-01-01*2019-06-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.34*-0.15**393792.34*279*[]*3730000*false*9.4708*0.5*0.0*0.5*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Semester 1 2019*2019-01-01*2019-06-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.34*-0.15**1197386.09*69*[]*11415000*false*9.533*0.4*0.0*0.4*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Semester 1 2019*2019-01-01*2019-06-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.34*-0.15**262855.3*2*[]*2523000*false*9.5977*0.3*0.0*0.3*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Semester 1 2019*2019-01-01*2019-06-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.34*-0.15**10118179.62*15177*[]*96726000*false*9.5597*0.25*0.0*0.25*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Semester 1 2019*2019-01-01*2019-06-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.34*-0.15**42213.72*9*[]*401000*false*9.5012*0.45*0.0*0.45*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Semester 1 2019*2019-01-01*2019-06-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.34*-0.15**106817.23*2*[]*1018000*false*9.5329*0.4*0.0*0.4*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Trimester 1 2019*2019-01-01*2019-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.12*-0.12**445484.33*302*[]*4206000*false*9.4403*0.25*0.0*0.25*0.01*0.9*1.19*0.47*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Trimester 1 2019*2019-01-01*2019-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.12*-0.12**1298696.13*75*[]*12334000*false*9.4974*0.2*0.0*0.2*0.01*0.95*1.19*0.42*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Trimester 1 2019*2019-01-01*2019-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.12*-0.12**262855.3*2*[]*2512000*false*9.557*0.15*0.0*0.15*0.01*1.0*1.19*0.37*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Trimester 1 2019*2019-01-01*2019-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.12*-0.12**10668573.8*16013*[]*101531000*false*9.5168*0.12*0.0*0.12*0.01*1.02*1.19*0.35*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Trimester 1 2019*2019-01-01*2019-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.12*-0.12**42213.72*9*[]*400000*false*9.468*0.22*0.0*0.22*0.01*0.92*1.19*0.45*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Trimester 1 2019*2019-01-01*2019-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.12*-0.12**157611.49*3*[]*1497000*false*9.4972*0.2*0.0*0.2*0.01*0.95*1.19*0.42*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 2 2018*2018-07-01*2018-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.53*0.15**468247.31*307*[]*4381000*false*9.3566*0.5*0.0*0.5*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Semester 2 2018*2018-07-01*2018-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.53*0.15**1487446.0*88*[]*13995000*false*9.4085*0.4*0.0*0.4*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Semester 2 2018*2018-07-01*2018-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.53*0.15**294337.3*2*[]*2785000*false*9.4629*0.3*0.0*0.3*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Semester 2 2018*2018-07-01*2018-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.53*0.15**12634390.12*17492*[]*119026000*false*9.4208*0.25*0.0*0.25*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Semester 2 2018*2018-07-01*2018-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.53*0.15**50530.45*11*[]*474000*false*9.3817*0.45*0.0*0.45*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Semester 2 2018*2018-07-01*2018-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.53*0.15**157611.49*3*[]*1483000*false*9.4083*0.4*0.0*0.4*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Trimester 3 2020*2020-07-01*2020-09-30*4964*SabadellAssetManagement@bancasabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.03*-0.1**281943.97*213*[]*2674000*false*9.4837*0.25*0.0*0.25*0.01*1.3*3.53*0.48*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Trimester 3 2020*2020-07-01*2020-09-30*4964*SabadellAssetManagement@bancasabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.03*-0.1**661180.4*36*[]*6327000*false*9.5699*0.2*0.0*0.2*0.01*1.35*3.53*0.43*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Trimester 3 2020*2020-07-01*2020-09-30*4964*SabadellAssetManagement@bancasabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.03*-0.1**110980.54*1*[]*1072000*false*9.659*0.15*0.0*0.15*0.01*1.4*3.53*0.38*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Trimester 3 2020*2020-07-01*2020-09-30*4964*SabadellAssetManagement@bancasabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.03*-0.1**7716825.75*11770*[]*74334000*false*9.6328*0.13*0.0*0.13*0.01*1.43*3.53*0.35*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Trimester 3 2020*2020-07-01*2020-09-30*4964*SabadellAssetManagement@bancasabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.03*-0.1**31524.95*6*[]*300000*false*9.526*0.23*0.0*0.23*0.01*1.33*3.53*0.45*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Trimester 3 2020*2020-07-01*2020-09-30*4964*SabadellAssetManagement@bancasabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.03*-0.1**0.0*0*[]*0*false*9.5697*0.0*0.0*0.0*0.0*1.35*3.53*0.0*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 1 2020*2020-01-01*2020-06-30*4964*SabadellAssetManagement@SabadellAssetManagement.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.41*-0.21**281636.15*212*[]*2637000*false*9.3618*0.5*0.0*0.5*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Semester 1 2020*2020-01-01*2020-06-30*4964*SabadellAssetManagement@SabadellAssetManagement.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.41*-0.21**708942.77*37*[]*6694000*false*9.4421*0.4*0.0*0.4*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Semester 1 2020*2020-01-01*2020-06-30*4964*SabadellAssetManagement@SabadellAssetManagement.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.41*-0.21**110980.54*1*[]*1057000*false*9.5252*0.3*0.0*0.3*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Semester 1 2020*2020-01-01*2020-06-30*4964*SabadellAssetManagement@SabadellAssetManagement.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.41*-0.21**7980306.87*12139*[]*75789000*false*9.497*0.25*0.0*0.25*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Semester 1 2020*2020-01-01*2020-06-30*4964*SabadellAssetManagement@SabadellAssetManagement.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.41*-0.21**31524.95*6*[]*296000*false*9.4012*0.45*0.0*0.45*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Semester 1 2020*2020-01-01*2020-06-30*4964*SabadellAssetManagement@SabadellAssetManagement.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.41*-0.21**0.0*0*[]*0*false*9.442*0.0*0.0*0.0*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Trimester 1 2020*2020-01-01*2020-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**295325.14*222*[]*2698000*false*9.1365*0.25*0.0*0.25*0.01*-3.69*3.39*0.49*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Trimester 1 2020*2020-01-01*2020-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**842857.73*42*[]*7763000*false*9.2104*0.2*0.0*0.2*0.01*-3.64*3.39*0.45*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Trimester 1 2020*2020-01-01*2020-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**110980.54*1*[]*1031000*false*9.2868*0.15*0.0*0.15*0.01*-3.59*3.39*0.4*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Trimester 1 2020*2020-01-01*2020-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**8510467.03*12355*[]*78781000*false*9.257*0.12*0.0*0.12*0.01*-3.57*3.39*0.37*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Trimester 1 2020*2020-01-01*2020-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**36655.47*7*[]*336000*false*9.1727*0.22*0.0*0.22*0.01*-3.67*3.39*0.47*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Trimester 1 2020*2020-01-01*2020-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**0.0*0*[]*0*false*9.2102*0.0*0.0*0.0*0.0*-3.64*3.39*0.0*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 2 2019*2019-07-01*2019-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.15*-0.12**290177.98*222*[]*2753000*false*9.4865*0.51*0.0*0.51*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Semester 2 2019*2019-07-01*2019-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.15*-0.12**1010305.02*57*[]*9657000*false*9.5584*0.4*0.0*0.4*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
