fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 3 2015*2015-07-01*2015-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.26*0.0**116134.52*201*0.0*1120385*true*9.6463*0.5*0.0*0.5*0.04*-2.47*16.63*0.08*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Semester 1 2018*2018-01-01*2018-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*2.4*-0.25**174951.8*173*0.19*1578126*true*9.0203*1.0*0.0*1.0*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Semester 1 2018*2018-01-01*2018-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*2.4*-0.25**155905.73*129*0.19*1425376*true*9.1426*0.77*0.0*0.77*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Semester 1 2018*2018-01-01*2018-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*2.4*-0.25**354610.66*313*0.0*3645651*true*10.2807*0.4*0.0*0.4*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Semester 1 2018*2018-01-01*2018-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*2.4*-0.25**609686.77*426*0.2*5708136*true*9.3624*0.4*0.0*0.4*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 1 2018*2018-01-01*2018-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*1.31*0.0**413322.48*615*0.0*3893484*true*9.42*0.49*0.0*0.49*0.04*-7.89*14.67*0.54*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Trimester 1 2018*2018-01-01*2018-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*1.31*0.0**385177.05*287*0.0*3674113*true*9.5388*0.38*0.0*0.38*0.04*-7.79*14.67*0.43*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Trimester 1 2018*2018-01-01*2018-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*1.31*0.0**195222.47*191*0.07*1699192*true*8.7039*0.49*0.0*0.49*0.04*-7.89*14.67*0.54*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Trimester 1 2018*2018-01-01*2018-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*1.31*0.0**175791.69*146*0.07*1549060*true*8.8119*0.38*0.0*0.38*0.04*-7.79*14.67*0.43*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Trimester 1 2018*2018-01-01*2018-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*1.31*0.0**403300.21*346*0.0*3936008*true*9.7595*0.2*0.0*0.2*0.04*-7.62*14.67*0.25*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Trimester 1 2018*2018-01-01*2018-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*1.31*0.0**690146.77*472*0.07*6216126*true*9.007*0.2*0.0*0.2*0.04*-7.62*14.67*0.25*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Semester 2 2019*2019-07-01*2019-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*1.96*0.47**240912.0*425*0.0*2552394*true*10.5947*1.0*0.0*1.0*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Semester 2 2019*2019-07-01*2019-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*1.96*0.47**123707.11*167*0.0*1337681*true*10.8133*0.78*0.0*0.78*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Semester 2 2019*2019-07-01*2019-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*1.96*0.47**144118.86*123*0.15*1325513*true*9.1974*1.0*0.0*1.0*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Semester 2 2019*2019-07-01*2019-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*1.96*0.47**127014.98*99*0.15*1192068*true*9.3853*0.78*0.0*0.78*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Semester 2 2019*2019-07-01*2019-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*1.96*0.47**267963.4*277*0.0*3003856*true*11.21*0.4*0.0*0.4*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Semester 2 2019*2019-07-01*2019-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*1.96*0.47**451981.67*316*0.15*4393248*true*9.72*0.4*0.0*0.4*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 3 2019*2019-07-01*2019-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*1.52*0.66**265754.22*458*0.0*2791373*true*10.5036*0.5*0.0*0.5*0.04*4.13*8.25*0.56*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Trimester 3 2019*2019-07-01*2019-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*1.52*0.66**121863.64*172*0.0*1304933*true*10.7081*0.39*0.0*0.39*0.04*4.25*8.25*0.44*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Trimester 3 2019*2019-07-01*2019-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*1.52*0.66**157012.35*139*0.07*1442899*true*9.1897*0.5*0.0*0.5*0.04*4.13*8.25*0.56*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Trimester 3 2019*2019-07-01*2019-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*1.52*0.66**143984.53*104*0.08*1348678*true*9.3668*0.39*0.0*0.39*0.04*4.25*8.25*0.44*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Trimester 3 2019*2019-07-01*2019-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*1.52*0.66**282348.11*286*0.0*3128409*true*11.08*0.2*0.0*0.2*0.04*4.44*8.25*0.26*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Trimester 3 2019*2019-07-01*2019-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*1.52*0.66**483927.84*336*0.08*4685663*true*9.6826*0.2*0.0*0.2*0.04*4.44*8.25*0.26*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Semester 1 2019*2019-01-01*2019-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.01*0.47**274292.06*478*0.0*2766858*true*10.0873*1.0*0.0*1.0*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Semester 1 2019*2019-01-01*2019-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.01*0.47**119129.84*178*0.0*1223709*true*10.2721*0.77*0.0*0.77*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Semester 1 2019*2019-01-01*2019-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.01*0.47**158223.61*143*0.17*1407697*true*8.8969*1.0*0.0*1.0*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Semester 1 2019*2019-01-01*2019-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.01*0.47**149775.23*112*0.17*1356675*true*9.0581*0.77*0.0*0.77*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Semester 1 2019*2019-01-01*2019-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.01*0.47**290180.03*296*0.0*3078429*true*10.6087*0.4*0.0*0.4*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Semester 1 2019*2019-01-01*2019-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.01*0.47**520123.03*355*0.18*4860927*true*9.3457*0.4*0.0*0.4*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 1 2019*2019-01-01*2019-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.26**287648.15*493*0.0*2905338*true*10.1003*0.5*0.0*0.5*0.04*12.07*7.76*0.55*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Trimester 1 2019*2019-01-01*2019-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.26**138731.74*215*0.0*1425304*true*10.2738*0.38*0.0*0.38*0.04*12.19*7.76*0.43*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Trimester 1 2019*2019-01-01*2019-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.26**163890.19*149*0.07*1477021*true*9.0123*0.5*0.0*0.5*0.04*12.07*7.76*0.55*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Trimester 1 2019*2019-01-01*2019-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.26**153842.5*117*0.07*1410005*true*9.1653*0.38*0.0*0.38*0.04*12.19*7.76*0.43*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Trimester 1 2019*2019-01-01*2019-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.26**293300.91*269*0.0*3106256*true*10.5907*0.2*0.0*0.2*0.04*12.4*7.76*0.25*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Trimester 1 2019*2019-01-01*2019-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.26**524794.95*369*0.07*4953352*true*9.4386*0.2*0.0*0.2*0.04*12.4*7.76*0.25*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Semester 2 2020*2020-07-01*2020-12-31*4875*mediolanum.gestion@mediolanum.es*ND*6*0.23*-0.06**196320.99*357*0.0*1447253*true*7.3719*1.01*0.0*1.01*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Semester 2 2020*2020-07-01*2020-12-31*4875*mediolanum.gestion@mediolanum.es*ND*6*0.23*-0.06**3273715.86*145*0.0*24742542*true*7.5579*0.78*0.0*0.78*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Semester 2 2020*2020-07-01*2020-12-31*4875*mediolanum.gestion@mediolanum.es*ND*6*0.23*-0.06**103468.35*86*0.08*640304*true*6.1884*1.01*0.0*1.01*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Semester 2 2020*2020-07-01*2020-12-31*4875*mediolanum.gestion@mediolanum.es*ND*6*0.23*-0.06**143510.25*84*0.08*910335*true*6.3433*0.78*0.0*0.78*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Semester 2 2020*2020-07-01*2020-12-31*4875*mediolanum.gestion@mediolanum.es*ND*6*0.23*-0.06**399717.75*325*0.0*3155467*true*7.8942*0.4*0.0*0.4*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Semester 2 2020*2020-07-01*2020-12-31*4875*mediolanum.gestion@mediolanum.es*ND*6*0.23*-0.06**364430.41*228*0.08*2412197*true*6.6191*0.4*0.0*0.4*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 3 2020*2020-07-01*2020-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.02*-0.13**211002.97*388*0.0*1345269*true*6.3756*0.5*0.0*0.5*0.04*-9.11*22.11*0.53*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Trimester 3 2020*2020-07-01*2020-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.02*-0.13**3282583.35*159*0.0*21432421*true*6.5291*0.39*0.0*0.39*0.04*-9.01*22.11*0.44*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Trimester 3 2020*2020-07-01*2020-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.02*-0.13**115756.01*99*0.03*624091*true*5.3914*0.5*0.0*0.5*0.04*-9.11*22.11*0.52*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Trimester 3 2020*2020-07-01*2020-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.02*-0.13**135119.03*90*0.03*745882*true*5.5202*0.39*0.0*0.39*0.04*-9.01*22.11*0.41*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Trimester 3 2020*2020-07-01*2020-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.02*-0.13**371968.99*303*0.0*2531929*true*6.8068*0.2*0.0*0.2*0.04*-8.83*22.11*0.23*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Trimester 3 2020*2020-07-01*2020-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.02*-0.13**384392.68*260*0.03*2209994*true*5.7493*0.2*0.0*0.2*0.04*-8.83*22.11*0.22*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Semester 1 2020*2020-01-01*2020-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*1.61*0.05**223957.48*401*0.0*1570975*true*7.0146*1.0*0.0*1.0*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Semester 1 2020*2020-01-01*2020-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*1.61*0.05**122009.74*161*0.0*875470*true*7.1754*0.77*0.0*0.77*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Semester 1 2020*2020-01-01*2020-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*1.61*0.05**115538.87*100*0.12*689337*true*5.9663*1.0*0.0*1.0*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Semester 1 2020*2020-01-01*2020-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*1.61*0.05**133497.45*92*0.12*814580*true*6.1018*0.77*0.0*0.77*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Semester 1 2020*2020-01-01*2020-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*1.61*0.05**324799.17*301*0.0*2425109*true*7.4665*0.4*0.0*0.4*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Semester 1 2020*2020-01-01*2020-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*1.61*0.05**394367.15*273*0.13*2501522*true*6.3431*0.4*0.0*0.4*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 1 2020*2020-01-01*2020-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.07*0.17**214772.24*394*0.0*1471055*true*6.8494*0.5*0.0*0.5*0.04*-35.35*54.55*0.55*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Trimester 1 2020*2020-01-01*2020-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.07*0.17**121444.0*162*0.0*849932*true*6.9985*0.39*0.0*0.39*0.04*-35.28*54.55*0.44*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Trimester 1 2020*2020-01-01*2020-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.07*0.17**120102.86*108*0.08*704863*true*5.8688*0.5*0.0*0.5*0.04*-35.35*54.55*0.55*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Trimester 1 2020*2020-01-01*2020-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.07*0.17**127411.02*94*0.08*763888*true*5.9955*0.39*0.0*0.39*0.04*-35.28*54.55*0.44*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Trimester 1 2020*2020-01-01*2020-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.07*0.17**282155.2*278*0.0*2050954*true*7.2689*0.2*0.0*0.2*0.04*-35.16*54.55*0.25*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Trimester 1 2020*2020-01-01*2020-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.07*0.17**400546.26*281*0.08*2491770*true*6.2209*0.2*0.0*0.2*0.04*-35.16*54.55*0.25*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
