fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO*50847847*Semester 2 2009*2009-07-01*2009-12-31*2243*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Alto*0.19*0.91**367697.44*602*0.0*4472859*false*12.1645***0.96*0.1*-1.79*17.83*0.55*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 3 2018*2018-07-01*2018-09-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.22**29422.0*71*0.0*784387*false*26.6599*0.23*0.0*0.23*0.05*-4.13*5.94*0.3*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 1 2018*2018-01-01*2018-06-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.2**1298589.51*1718*0.0*33464597*false*25.77*0.94*0.0*0.94*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 1 2018*2018-01-01*2018-06-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.2**26439.28*61*0.0*735221*false*27.8079*0.46*0.0*0.46*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 1 2018*2018-01-01*2018-03-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.22**1230899.97*1668*0.0*30610930*false*24.8687*0.47*0.0*0.47*0.05*-3.87*12.33*0.52*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 1 2018*2018-01-01*2018-03-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.22**22958.68*52*0.0*614626*false*26.771*0.23*0.0*0.23*0.05*-3.62*12.33*0.28*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 2 2017*2017-07-01*2017-12-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.24**1197682.35*1641*0.0*30983638*false*25.8697*0.96*0.0*0.96*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 2 2017*2017-07-01*2017-12-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.24**23.96*2*0.0*665*false*27.7757*0.87*0.0*0.87*0.0*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 2 2019*2019-07-01*2019-12-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.06*-0.22**2564027.26*1317*0.0*68105532*false*26.5619*0.96*0.0*0.96*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 2 2019*2019-07-01*2019-12-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.06*-0.22**113649.89*1020*0.0*3305104*false*29.0815*0.47*0.0*0.47*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 3 2019*2019-07-01*2019-09-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.06*-0.16**2602560.33*1449*0.0*65264077*false*25.0769*0.48*0.0*0.48*0.05*5.25*10.28*0.54*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 3 2019*2019-07-01*2019-09-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.06*-0.16**121233.51*1097*0.0*3320482*false*27.3891*0.23*0.0*0.23*0.05*5.51*10.28*0.3*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 1 2019*2019-01-01*2019-06-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.1**2660420.14*1523*0.0*63385199*false*23.8253*0.94*0.0*0.94*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 1 2019*2019-01-01*2019-06-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.1**104599.2*1187*0.0*2715312*false*25.9592*0.46*0.0*0.46*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 1 2019*2019-01-01*2019-03-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*0.04**1967338.53*1556*0.0*46813424*false*23.7953*0.47*0.0*0.47*0.05*11.08*8.53*0.53*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 1 2019*2019-01-01*2019-03-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*0.04**101029.58*1263*0.0*2613086*false*25.8646*0.22*0.0*0.22*0.05*11.34*8.53*0.29*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 2 2020*2020-07-01*2020-12-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.0*-0.27**415480.92*873*0.0*9497214*false*22.8584*0.96*0.0*0.96*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 2 2020*2020-07-01*2020-12-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.0*-0.27**1398368.97*9*0.0*35337281*false*25.2704*0.47*0.0*0.47*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 3 2020*2020-07-01*2020-09-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.01*-0.27**456629.03*960*0.0*9554702*false*20.9244*0.48*0.0*0.48*0.05*1.16*15.88*0.54*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 3 2020*2020-07-01*2020-09-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.01*-0.27**1426224.57*9*0.0*32911584*false*23.076*0.23*0.0*0.23*0.05*1.4*15.88*0.29*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 1 2020*2020-01-01*2020-06-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.1*-0.27**655793.67*1033*0.0*13565312*false*20.6853*0.95*0.0*0.95*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 1 2020*2020-01-01*2020-06-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.1*-0.27**1330866.0*841*0.0*30286225*false*22.7568*0.46*0.0*0.46*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 1 2020*2020-01-01*2020-03-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.2**2195284.63*1123*0.0*40635513*false*18.5104*0.47*0.0*0.47*0.05*-30.31*48.18*0.53*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 1 2020*2020-01-01*2020-03-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.2**94604.69*848*0.0*1921889*false*20.3149*0.23*0.0*0.23*0.05*-30.14*48.18*0.29*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
