fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Trimester 3 2009*2009-07-01*2009-09-30*3591*gestora@fineco.com*AA  (S&P)*medio*0.21*0.22**4977486.94*157*0.0*40303252*true*8.0971***0.06*0.01*2.0*1.62*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -I-*95444667*Trimester 3 2018*2018-07-01*2018-09-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.96*-0.36**42603339.95*827*0.0*362833635*false*8.5166*0.11*[]*0.11*0.01*-0.19*0.6*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -A-*95444667*Semester 1 2018*2018-01-01*2018-06-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.08*-0.36**3964000.54*462*0.0*33548952*false*8.4634*0.17*[]*0.17*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -I-*95444667*Semester 1 2018*2018-01-01*2018-06-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.08*-0.36**43080143.73*809*0.0*367576955*false*8.5324*0.12*[]*0.12*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Trimester 1 2018*2018-01-01*2018-03-31*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.01*-0.36**3978132.13*449*0.0*33730763*false*8.479*0.09*[]*0.09*0.01*-0.2*0.13*0.13*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Trimester 1 2018*2018-01-01*2018-03-31*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.01*-0.36**43973637.46*763*0.0*375800150*false*8.546*0.06*[]*0.06*0.01*-0.18*0.12*0.11*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -A-*95444667*Semester 2 2019*2019-07-01*2019-12-31*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*38.75*-0.42**4955042.05*615*0.0*42892829*false*8.6564*0.33*[]*0.33*0.0*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -I-*95444667*Semester 2 2019*2019-07-01*2019-12-31*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*38.75*-0.42**54520935.11*1019*0.0*476863927*false*8.7464*0.25*[]*0.25*0.0*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -A-*95444667*Trimester 3 2019*2019-07-01*2019-09-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.15*-0.38**5050714.15*621*0.0*43692669*false*8.6508*0.16*[]*0.16*0.0*0.49*0.8*0.17*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -I-*95444667*Trimester 3 2019*2019-07-01*2019-09-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.15*-0.38**52609413.49*975*0.0*459672878*false*8.7375*0.13*[]*0.13*0.0*0.53*0.8*0.13*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -A-*95444667*Semester 1 2019*2019-01-01*2019-06-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.25*-0.36**5088755.5*617*0.0*43806722*false*8.6085*0.32*[]*0.32*0.0*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -I-*95444667*Semester 1 2019*2019-01-01*2019-06-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.25*-0.36**51010643.91*920*0.0*443358876*false*8.6915*0.25*[]*0.25*0.0*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -A-*95444667*Trimester 1 2019*2019-01-01*2019-03-31*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.18*-0.37**4787703.22*580*0.0*40763748*false*8.5143*0.16*[]*0.16*0.01*1.83*1.06*0.16*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -I-*95444667*Trimester 1 2019*2019-01-01*2019-03-31*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.18*-0.37**49496020.9*866*0.0*425324289*false*8.5931*0.12*[]*0.12*0.01*1.86*1.06*0.12*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -A-*95444667*Semester 2 2020*2020-07-01*2020-12-31*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*22.34*-0.47**5252444.7*627*0.0*45685298*false*8.6979*0.33*[]*0.33*0.04*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -I-*95444667*Semester 2 2020*2020-07-01*2020-12-31*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*22.34*-0.47**62707284.18*1174*0.0*551922652*false*8.8016*0.25*[]*0.25*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -A-*95444667*Trimester 3 2020*2020-07-01*2020-09-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*12.7*-0.47**5227941.28*631*0.0*44991311*false*8.6059*0.16*[]*0.16*0.03*0.97*0.88*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -I-*95444667*Trimester 3 2020*2020-07-01*2020-09-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*12.7*-0.47**62064356.62*1151*0.0*540283511*false*8.7052*0.13*[]*0.13*0.03*1.01*0.87*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -A-*95444667*Semester 1 2020*2020-01-01*2020-06-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*38.64*-0.45**5090728.39*621*0.0*43389560*false*8.5233*0.32*[]*0.32*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -I-*95444667*Semester 1 2020*2020-01-01*2020-06-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*38.64*-0.45**59742899.7*1124*0.0*514883969*false*8.6183*0.25*[]*0.25*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -A-*95444667*Trimester 1 2020*2020-01-01*2020-03-31*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*13.32*-0.45**4967531.55*619*0.0*41113456*false*8.2764*0.16*[]*0.16*0.0*-4.39*3.75*0.16*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -I-*95444667*Trimester 1 2020*2020-01-01*2020-03-31*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*13.32*-0.45**57688387.44*1089*0.0*482600238*false*8.3656*0.12*[]*0.12*0.0*-4.35*3.76*0.13*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
