fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*61690376*Semester 2 2009*2009-07-01*2009-12-31*1552*bankpimesgiic@bankpime.es*ND*Alto*0.33*0.23**985374.34*1022*0.0*6075171*false*6.1653***0.68*0.1*8.84*11.5*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*61690376*Trimester 3 2009*2009-07-01*2009-09-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.14*0.41**909418.3*1055*0.0*5151275*false*5.6644***0.34*0.05*9.19*14.04*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*61690376*Semester 1 2009*2009-01-01*2009-06-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.51*1.16**883874.09*1075*0.0*4585269*false*5.1877***0.67*0.1*5.68*17.25*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*61690376*Semester 2 2010*2010-07-01*2010-12-31*1552*bankpimesgiic@bankpime.es*ND*Alto*0.34*0.22**1587750.99*1058*0.0*10979842*false*6.9153***0.83*0.1*6.7*11.14*0.48*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*61690376*Trimester 3 2010*2010-07-01*2010-09-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.17*0.15**1445719.8*1073*0.0*9369499*false*6.4809***0.42*0.05*-0.94*15.31*0.48*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*61690376*Semester 1 2010*2010-01-01*2010-06-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.34*0.06**1439111.66*1098*0.0*9415537*false*6.5426***0.72*0.1*-4.56*16.0*0.45*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*61690376*Trimester 1 2010*2010-01-01*2010-03-31*1552*bankpimesgiic@bankpime.es*ND*Alto*0.29*0.03**1242735.12*1059*0.0*8519427*false*6.8554***0.33*0.05*11.19*12.58*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2017*2017-01-01*2017-03-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.26*0.46**19398922.25*1521*0.0*134712915*false*6.9444*0.37*0.0*0.37*0.04*7.58*10.36*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2017*2017-01-01*2017-03-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.26*0.46**9545816.78*48*0.0*66612046*false*6.9781*0.27*0.0*0.27*0.02*7.69*10.36*0.3*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2017*2017-01-01*2017-03-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.26*0.46**166.66*1*0.0*1000*false*6.001*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T12017_V61690376_da"" decimals=""2"" unitref=""pure"">7.52</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_T12017_V61690376_da"" decimals=""2"" unitref=""pure"">7.58</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_T12017_V61690376_da"" decimals=""2"" unitref=""pure"">7.69</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12017_V61690376_da"" decimals=""2"" unitref=""pure"">10.36</iic-com-fon:volatilidadvalorliquidativo>, <iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12017_V61690376_da"" decimals=""2"" unitref=""pure"">10.36</iic-com-fon:volatilidadvalorliquidativo>, <iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12017_V61690376_da"" decimals=""2"" unitref=""pure"">10.36</iic-com-fon:volatilidadvalorliquidativo>]"*0.0*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2018*2018-07-01*2018-09-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*5 - Medio-alto*1.63*0.52**10691898.06*17927*0.0*217219020*false*20.3162*0.42*0.0*0.42*0.04*10.71*9.18*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2018*2018-07-01*2018-09-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*5 - Medio-alto*1.63*0.52**17311173.18*1640*0.0*132951101*false*7.6801*0.38*0.0*0.38*0.04*10.77*9.18*0.42*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2018*2018-07-01*2018-09-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*5 - Medio-alto*1.63*0.52**10517605.7*43*0.0*81714919*false*7.7693*0.28*0.0*0.28*0.03*10.89*9.18*0.3*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2018*2018-07-01*2018-09-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*5 - Medio-alto*1.63*0.52**721888.54*20*0.0*4820694*false*6.6779*0.15*0.0*0.15*0.01*11.05*9.18*0.16*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2018*2018-01-01*2018-06-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*5 - Medio-alto*4.17*0.56**10680858.04*17672*0.0*195997747*false*18.3504*0.83*0.0*0.83*0.09*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2018*2018-01-01*2018-06-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*5 - Medio-alto*4.17*0.56**15685480.91*1447*0.0*108754853*false*6.9335*0.75*0.0*0.75*0.07*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2018*2018-01-01*2018-06-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*5 - Medio-alto*4.17*0.56**8145366.02*37*0.0*57068079*false*7.0062*0.55*0.0*0.55*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2018*2018-01-01*2018-06-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*5 - Medio-alto*4.17*0.56**556546.53*20*0.0*3346647*false*6.0132*0.3*0.0*0.3*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2018*2018-01-01*2018-03-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.03*0.63**11846039.74*19311*0.0*201598145*false*17.0182*0.41*0.0*0.41*0.04*-4.55*16.64*0.46*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2018*2018-01-01*2018-03-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.03*0.63**18189589.74*1652*0.0*116903198*false*6.4269*0.37*0.0*0.37*0.04*-4.51*16.64*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2018*2018-01-01*2018-03-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.03*0.63**8510308.4*41*0.0*55207292*false*6.4871*0.27*0.0*0.27*0.02*-4.4*16.64*0.3*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2018*2018-01-01*2018-03-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.03*0.63**357949.26*19*0.0*1990101*false*5.5597*0.15*0.0*0.15*0.0*-4.27*16.64*0.15*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2016*2016-01-01*2016-12-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*4.73*0.2**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*0.15*17.11*1.86*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2016*2016-01-01*2016-12-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*4.73*0.2**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*"[<iic-com:rentabilidadiic contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">0.15</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">17.11</iic-com-fon:volatilidadvalorliquidativo>]"*1.37*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2016*2016-01-01*2016-12-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*4.73*0.2**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*"[<iic-com:rentabilidadiic contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">0.15</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">17.11</iic-com-fon:volatilidadvalorliquidativo>]"*1.0*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2016*2016-01-01*2016-12-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*4.73*0.2**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*"[<iic-com:rentabilidadiic contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">0.15</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">17.11</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">1.86</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">1.37</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">1.00</iic-com:ratiototalgastos>]"*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 2 2019*2019-07-01*2019-12-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*3.75*1.08**11378972.56*18666*0.0*237353972*false*20.859*0.84*0.0*0.84*0.09*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 2 2019*2019-07-01*2019-12-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*3.75*1.08**21443262.25*2098*0.0*169506434*false*7.9049*0.76*0.0*0.76*0.08*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 2 2019*2019-07-01*2019-12-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*3.75*1.08**2209107.89*30*0.0*17765784*false*8.0421*0.56*0.0*0.56*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 2 2019*2019-07-01*2019-12-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*3.75*1.08**8444950.83*64*0.0*58792259*false*6.9618*0.3*0.0*0.3*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2019*2019-07-01*2019-09-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*2.06*1.27**12237433.22*19688*0.0*228691835*false*18.6879*0.42*0.0*0.42*0.04*4.85*10.83*0.48*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2019*2019-07-01*2019-09-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*2.06*1.27**22478145.34*2157*0.0*159113070*false*7.0786*0.38*0.0*0.38*0.04*4.9*10.83*0.43*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2019*2019-07-01*2019-09-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*2.06*1.27**2377066.53*33*0.0*17098990*false*7.1933*0.28*0.0*0.28*0.03*5.02*10.83*0.31*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2019*2019-07-01*2019-09-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*2.06*1.27**8439915.97*61*0.0*52480026*false*6.2181*0.15*0.0*0.15*0.01*5.18*10.83*0.17*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2019*2019-01-01*2019-06-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*2.6*1.4**12628510.18*20469*0.0*225080934*false*17.8232*0.83*0.0*0.83*0.09*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2019*2019-01-01*2019-06-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*2.6*1.4**22859005.98*2189*0.0*154245001*false*6.7477*0.74*0.0*0.74*0.07*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2019*2019-01-01*2019-06-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*2.6*1.4**2815299.92*41*0.0*19282892*false*6.8493*0.55*0.0*0.55*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2019*2019-01-01*2019-06-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*2.6*1.4**12669396.09*65*0.0*74903017*false*5.9121*0.29*0.0*0.29*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2019*2019-01-01*2019-03-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*6 - Alto*1.46*1.33**12025837.39*20044*0.0*230212697*false*19.1432*0.41*0.0*0.41*0.04*10.54*12.32*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2019*2019-01-01*2019-03-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*6 - Alto*1.46*1.33**21127459.14*2006*0.0*153042776*false*7.2438*0.37*0.0*0.37*0.04*10.59*12.32*0.42*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2019*2019-01-01*2019-03-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*6 - Alto*1.46*1.33**12757841.13*45*0.0*93697483*false*7.3443*0.27*0.0*0.27*0.02*10.71*12.32*0.31*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2019*2019-01-01*2019-03-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*6 - Alto*1.46*1.33**1594840.41*59*0.0*10096417*false*6.3307*0.15*0.0*0.15*0.0*10.87*12.32*0.16*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 2 2020*2020-07-01*2020-12-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*3.13*-0.22**11675419.21*19928*0.0*236898981*false*20.2904*0.84*0.0*0.84*0.09*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 2 2020*2020-07-01*2020-12-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*3.13*-0.22**19721068.85*2074*0.0*151946097*false*7.7048*0.76*0.0*0.76*0.08*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 2 2020*2020-07-01*2020-12-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*3.13*-0.22**2207605.71*28*0.0*17382031*false*7.8737*0.55*0.0*0.55*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 2 2020*2020-07-01*2020-12-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*3.13*-0.22**8791636.59*122*0.0*60271965*false*6.8556*0.3*0.0*0.3*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2020*2020-07-01*2020-09-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*1.38*-0.05**12754165.48*21488*0.0*251454803*false*19.7155*0.42*0.0*0.42*0.04*-5.57*14.29*0.48*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2020*2020-07-01*2020-09-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*1.38*-0.05**23576832.36*2437*0.0*176418002*false*7.4827*0.38*0.0*0.38*0.04*-5.52*14.29*0.43*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2020*2020-07-01*2020-09-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*1.38*-0.05**2527467.65*33*0.0*19305092*false*7.6381*0.28*0.0*0.28*0.03*-5.41*14.29*0.31*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2020*2020-07-01*2020-09-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*1.38*-0.05**11295984.65*559*0.0*75014235*false*6.6408*0.15*0.0*0.15*0.01*-5.27*14.29*0.17*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2020*2020-01-01*2020-06-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*4.14*0.37**13051570.04*21892*0.0*272484656*false*20.8775*0.83*0.0*0.83*0.09*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2020*2020-01-01*2020-06-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*4.14*0.37**25063405.23*2577*0.0*198495563*false*7.9197*0.74*0.0*0.74*0.07*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2020*2020-01-01*2020-06-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*4.14*0.37**2802533.89*37*0.0*22630789*false*8.0751*0.55*0.0*0.55*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2020*2020-01-01*2020-06-30*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*4.14*0.37**9106526.8*592*0.0*63841512*false*7.0105*0.3*0.0*0.3*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2020*2020-01-01*2020-03-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*2.9*0.74**10830631.21*18390*0.0*203653034*false*18.8034*0.42*0.0*0.42*0.04*-9.85*43.36*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2020*2020-01-01*2020-03-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*2.9*0.74**20723326.17*2092*0.0*147745168*false*7.1294*0.37*0.0*0.37*0.04*-9.81*43.36*0.42*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2020*2020-01-01*2020-03-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*2.9*0.74**2289326.34*33*0.0*16623282*false*7.2612*0.27*0.0*0.27*0.02*-9.71*43.36*0.31*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2020*2020-01-01*2020-03-31*1552*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*6 - Alto*2.9*0.74**8767531.25*90*0.0*55190544*false*6.2949*0.15*0.0*0.15*0.0*-9.58*43.36*0.17*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
