fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CS EUROPE SMALL & MID CAP, FI*GLOBAL VARIABLE, FI*80043193*Semester 2 2009*2009-07-01*2009-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MEDIO*0.28*0.24**70248.07*71*0.0*695377*false*9.8989***1.01*0.1*2.24*6.06*0.67*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA B*80043193*Trimester 1 2017*2017-01-01*2017-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*6, en una escala de 1 a 7.*0.0*-0.02**86283.73*58*0.0*1126476*false*13.0555*0.37*[]*0.37*0.02*[]*[]*0.44*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Semester 2 2016*2016-07-01*2016-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.5*0.0**52339.76*39*0.0*672214*false*12.8433*0.23*[]*0.23*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Semester 2 2016*2016-07-01*2016-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.5*0.0**397267.4*76*0.0*4809778*false*12.1072*0.75*[]*0.75*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA A*80043193*Semester 2 2018*2018-07-01*2018-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.22*0.0**1564208.69*119*0.0*18365672*false*11.7412*0.38*[]*0.38*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA B*80043193*Semester 2 2018*2018-07-01*2018-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.22*0.0**490772.46*131*0.0*5347571*false*10.8962*0.76*[]*0.76*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA A*80043193*Trimester 3 2018*2018-07-01*2018-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.08*0.0**1651666.79*127*0.0*23380286*false*14.1556*0.19*[]*0.19*0.03*-4.12*9.62*0.22*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA B*80043193*Trimester 3 2018*2018-07-01*2018-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.08*0.0**640249.24*145*0.0*8426783*false*13.1617*0.38*[]*0.38*0.03*-4.3*9.63*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA A*80043193*Semester 1 2018*2018-01-01*2018-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.26*0.0**1813166.01*131*0.0*26769218*false*14.7638*0.37*[]*0.37*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA B*80043193*Semester 1 2018*2018-01-01*2018-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.26*0.0**677599.9*157*0.0*9319181*false*13.7532*0.74*[]*0.74*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA A*80043193*Trimester 1 2018*2018-01-01*2018-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.19*0.0**1834124.39*136*0.0*27290207*false*14.8791*0.19*[]*0.19*0.02*-1.65*11.78*0.22*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA B*80043193*Trimester 1 2018*2018-01-01*2018-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.19*0.0**707271.65*159*0.0*9821607*false*13.8866*0.37*[]*0.37*0.02*-1.83*11.79*0.4*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA A*80043193*Trimester 3 2019*2019-07-01*2019-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.2*0.0**1332120.27*104*0.0*16656003*false*12.5034*0.19*[]*0.19*0.03*-1.11*13.23*0.24*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA B*80043193*Trimester 3 2019*2019-07-01*2019-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.2*0.0**333211.41*107*0.0*3844812*false*11.5387*0.38*[]*0.38*0.03*-1.3*13.22*0.43*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA A*80043193*Semester 1 2019*2019-01-01*2019-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.45*0.0**1359004.21*105*0.0*17182664*false*12.6436*0.37*[]*0.37*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA B*80043193*Semester 1 2019*2019-01-01*2019-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.45*0.0**384628.56*110*0.0*4496349*false*11.6901*0.74*[]*0.74*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA A*80043193*Trimester 1 2019*2019-01-01*2019-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.28*0.0**1403195.37*111*0.0*17706747*false*12.6189*0.19*[]*0.19*0.02*7.48*14.19*0.22*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA B*80043193*Trimester 1 2019*2019-01-01*2019-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.28*0.0**413121.14*119*0.0*4829019*false*11.6891*0.37*[]*0.37*0.02*7.28*14.19*0.4*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA A*80043193*Semester 2 2018*2018-07-01*2018-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.22*0.0**1564208.69*119*0.0*18365672*false*11.7412*0.38*[]*0.38*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA B*80043193*Semester 2 2018*2018-07-01*2018-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.22*0.0**490772.46*131*0.0*5347571*false*10.8962*0.76*[]*0.76*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CL A*80043193*Semester 2 2020*2020-07-01*2020-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*6, en una escala de 1 a 7.*0.1*0.0**941306.1*75*0.0*11200125*false*11.8985*0.38*[]*0.38*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CL B*80043193*Semester 2 2020*2020-07-01*2020-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*6, en una escala de 1 a 7.*0.1*0.0**209749.09*73*0.0*2281659*false*10.878*0.75*[]*0.75*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CL A*80043193*Trimester 3 2020*2020-07-01*2020-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.01*0.0**1039447.96*83*0.0*10568138*false*10.1671*0.19*[]*0.19*0.03*-1.07*15.99*0.25*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CL B*80043193*Trimester 3 2020*2020-07-01*2020-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.01*0.0**227621.98*79*0.0*2119764*false*9.3127*0.38*[]*0.38*0.03*-1.25*16.0*0.44*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CL A*80043193*Semester 1 2020*2020-01-01*2020-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.15*0.0**1056306.99*85*0.0*10855446*false*10.2768*0.38*[]*0.38*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CL B*80043193*Semester 1 2020*2020-01-01*2020-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.15*0.0**237899.14*82*0.0*2243606*false*9.4309*0.75*[]*0.75*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CL A*80043193*Trimester 1 2020*2020-01-01*2020-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.07*0.0**1107230.51*94*0.0*9965580*false*9.0005*0.19*[]*0.19*0.02*-32.45*39.93*0.24*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CL B*80043193*Trimester 1 2020*2020-01-01*2020-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.07*0.0**277061.76*89*0.0*2292699*false*8.275*0.38*[]*0.38*0.02*-32.58*39.94*0.43*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
